vendor_name,spend,department,description,recommendation,source,confidence
"Paint&Wine, Vl. Stevo Dosen",159.415734655,G&A,Team building entertainment activity,Terminate,database,High
Parcelforce Worldwide,154.80834348000002,G&A,Postal and parcel delivery,Optimize,database,High
Advena,153.886865245,G&A,Employee relocation and global mobility services,Optimize,database,High
Hrvatski Nezavisnici Izvoznici Softvera,153.886865245,Professional Services,Croatian software exporters association,Optimize,database,High
Monile J.D.O.O.,152.043908775,Engineering,Mobile app development and digital services,Optimize,database,High
Puzzle Promotion J.D.O.O.,142.829126425,Marketing,Event promotional materials and merchandise,Optimize,database,High
Zagrebaä_x008d_Ki Holding D.O.O.,142.829126425,Facilities,Property holding and management,Optimize,database,High
Event Ors,142.829126425,G&A,Event planning and management,Terminate,database,High
Sportkart D.O.O.,140.986169955,Support,Sports and recreation services,Optimize,database,High
"Interaction Design Foundation, Inc",138.22173525,SaaS,UX design education platform,Optimize,database,High
(Blank),137.300257015,G&A,Unidentified vendor requiring manual classification,Optimize,database,High
Escape Art D.O.O.,132.69286584,G&A,Team building entertainment venue,Terminate,database,High
Fero-Term,130.84990937,Facilities,HVAC and facility equipment,Optimize,database,High
Ustanova Za Zdravstvenu Skrb P.P.,130.84990937,Support,Healthcare and medical services,Optimize,database,High
Vistaprint,129.928431135,Marketing,Print and promotional materials,Optimize,database,High
Teb Poslovno Savjetovanje D.O.O.,129.00695290000002,Professional Services,Business consulting and education,Consolidate,database,High
Illunis D.O.O.,128.085474665,Engineering,IT and technology solutions,Optimize,database,High
The Cook Kitchen,122.55660525500001,G&A,Restaurant and food services,Terminate,database,High
Australian Taxation Office (Ato),122.55660525500001,Finance,Government tax compliance,Optimize,database,High
Capitol Services,119.79217055000001,Legal,Corporate compliance and registered agent,Optimize,database,High
Bonus Opinio D.O.O.,119.79217055000001,G&A,Market research and employee survey services,Optimize,database,High
Dhl Express (Uk) Ltd,118.870692315,G&A,Express courier and logistics,Optimize,database,High
Kat'S Kitchen D.O.O.,118.870692315,G&A,Restaurant and catering services,Terminate,database,High
Soho Kitchen Ltd,104.12704055500001,G&A,Restaurant venue for corporate events,Terminate,database,High
Fortis Trade J.D.O.O.,94.912258205,G&A,Office supply import and wholesale distribution,Optimize,database,High
Till Trade D.O.O.,93.06930173500001,G&A,Office consumables and supply procurement,Optimize,database,High
Pret A Manger,92.1478235,G&A,Food and beverage purchases,Terminate,database,High
Axil Coffee Roasters,89.383388795,G&A,Coffee and beverages for events,Terminate,database,High
Pepco Croatia D.O.O.,89.383388795,G&A,Low-cost office and household supplies retailer,Optimize,database,High
Lemia D.O.O.,87.540432325,G&A,Stationery and office consumables supplier,Optimize,database,High
Retriever Llc,87.540432325,SaaS,Media monitoring platform,Optimize,database,High
Meluba Limited,87.540432325,Facilities,Commercial cleaning and janitorial supplies,Optimize,database,High
London Waste Management,85.69747585500001,Facilities,Waste management services,Optimize,database,High
Hilton Garden Inn - Zagreb City Hotels D.O.O.,82.011562915,G&A,Hotel venue for corporate events,Terminate,database,High
Lider Media D.O.O.,80.16860644500001,Marketing,Croatian media and publishing,Optimize,database,High
Uptime Robot Service Provider Ltd,78.325649975,SaaS,Website monitoring platform,Optimize,database,High
Mithras Consultants,77.40417174000001,Professional Services,Organizational restructuring and change management,Consolidate,database,High
6Sense Insights Inc,75.56121527,SaaS,Account-based marketing platform,Optimize,database,High
Ico,67.26791115500001,Legal,Data protection regulatory fees,Optimize,database,High
Sportska Udruga Split,66.34643292,Support,Sports and recreation services,Optimize,database,High
Prezzee,63.581998215000006,G&A,Corporate gift cards,Terminate,database,High
Inet Telecoms Ltd.,62.660519980000004,Engineering,Telecommunications services provider,Optimize,database,High
Wolt Enterprises Oy,61.739041745,G&A,Food delivery service,Terminate,database,High
Platinum Office D.O.O.,61.739041745,Facilities,Office supplies and equipment,Optimize,database,High
Snappy Snaps,58.97460704,G&A,Photo printing services,Terminate,database,High
New Block D.O.O.,56.210172335,Engineering,Technology and development services,Optimize,database,High
Cayman Islands Government,56.210172335,Legal,Government regulatory and compliance fees,Optimize,database,High
Officeworks,56.210172335,G&A,Office supplies and stationery,Optimize,database,High
Click Send Pty Ltd,55.2886941,SaaS,Business communication platform,Optimize,database,High
Kall Kwik Centre 565,55.2886941,G&A,Printing and copying services,Optimize,database,High
Shilton Hospitality Llp,55.2886941,G&A,Hospitality venue for corporate events,Terminate,database,High
Axosoft Gitkraken,54.367215865,SaaS,Git client and developer tools,Optimize,database,High
Istra Wine,53.44573763,G&A,Wine tasting corporate entertainment,Terminate,database,High
Gophr,51.60278116,G&A,Same-day courier services,Optimize,database,High
Pan-Pek D.O.O.,49.75982469,G&A,Bakery and food supplies,Terminate,database,High
Uber *Eats,49.75982469,G&A,Food delivery service,Terminate,database,High
Fedex Express Uk Transportation Ltd,46.995389985,G&A,Express courier services,Optimize,database,High
Garden City D.O.O.,45.152433515,Facilities,Office and property maintenance,Optimize,database,High
Livingstone,40.54504234,Engineering,IT asset lifecycle management and disposal,Optimize,database,High
Ekupi D.O.O.,39.623564105,G&A,Online retail and office supplies,Optimize,database,High
Farmacia - Specijalizirana Prodavaonica D.O.O.,35.937651165,Support,Pharmacy and health products,Optimize,database,High
Cupcake Central (Life Is Sweet Bakery),35.01617293,G&A,Bakery for corporate events,Terminate,database,High
Post Office Ltd,32.251738225000004,G&A,Postal services,Optimize,database,High
Currys Pc World,30.408781755,Engineering,IT hardware retail purchases,Optimize,database,High
Brodomerkur D.D.,28.565825285000003,G&A,Retail and hardware supplies,Optimize,database,High
Sport Vision D.O.O.,25.80139058,G&A,Sporting goods for corporate events,Terminate,database,High
Harissa D.O.O.,21.193999405,G&A,Restaurant and food services,Terminate,database,High
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,20.27252117,Support,Occupational health medical services,Optimize,database,High
Specijalisticka Ordinacija Medicine Rada Helena Blazic,20.27252117,Support,Occupational health medical services,Optimize,database,High
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,20.27252117,Support,Occupational health medical services,Optimize,database,High
M&S Simply Food,19.351042935000002,G&A,Food and grocery purchases,Terminate,database,High
Bakemono Bakers Melbourne,18.4295647,G&A,Bakery for corporate events,Terminate,database,High
Coles,17.508086465,G&A,Grocery and supplies purchases,Terminate,database,High
